Time for csr:
For rowNum: 1.9999999999881224e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 3.000000000016878e-07
For rowNum: 3.000000000016878e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 1.0000000000287557e-07
For colNum: 1.9999999999881224e-07
For creating a CSR: 0.0034188999999999956 of size 6x6
For rowNum: 1.0000000000287557e-07
For colNum: 1.9999999999881224e-07
For appending row: 1.1999999999998123e-06
For appending col: 1.0999999999969368e-06
For find: 6.899999999997186e-06
For rowNum: 1.0000000000287557e-07
For update: 0.00037299999999999833
For rowNum: 9.999999999593667e-08
For insert row: 0.0002198999999999951
For rowNum: 1.0000000000287557e-07
For insert col: 0.00026369999999999866
For entries: 1.1500000000004562e-05
For rowNum: 2.599999999998437e-06
For rowNum: 2.0000000000575113e-07
For rowNum: 9.999999999593667e-08
For rowNum: 2.0000000000575113e-07
For rowNum: 2.0000000000575113e-07
For rowNum: 9.999999999593667e-08
For rowNum: 1.0000000000287557e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 3.000000000016878e-07
For rowNum: 2.999999999947489e-07
For rowNum: 3.000000000016878e-07
For rowNum: 3.000000000016878e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 9.999999999593667e-08
For rowNum: 9.999999999593667e-08
For rowNum: 2.0000000000575113e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 9.999999999593667e-08
For rowNum: 9.999999999593667e-08
For rowNum: 1.0000000000287557e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 3.000000000016878e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 2.0000000000575113e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 1.0000000000287557e-07
For colNum: 2.999999999947489e-07
For creating a CSR: 0.0095084 of size 11x11
For rowNum: 1.9999999999881224e-07
For colNum: 1.9999999999881224e-07
For appending row: 1.1999999999998123e-06
For appending col: 9.999999999940612e-07
For find: 1.0400000000000686e-05
For rowNum: 1.0000000000287557e-07
For update: 0.00030670000000000003
For rowNum: 1.0000000000287557e-07
For insert row: 0.00022429999999999672
For rowNum: 9.999999999593667e-08
For insert col: 0.00022629999999999872
For entries: 2.1200000000005936e-05
For rowNum: 1.0000000000287557e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 3.000000000016878e-07
For rowNum: 2.0000000000575113e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 9.999999999593667e-08
For rowNum: 1.9999999999881224e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 2.999999999947489e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 2.0000000000575113e-07
For rowNum: 2.0000000000575113e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 3.000000000016878e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 9.999999999593667e-08
For rowNum: 1.9999999999881224e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 9.999999999593667e-08
For rowNum: 1.9999999999881224e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 1.0000000000287557e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 9.999999999593667e-08
For rowNum: 1.0000000000287557e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 2.0000000000575113e-07
For rowNum: 2.0000000000575113e-07
For rowNum: 9.999999999593667e-08
For rowNum: 1.0000000000287557e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 9.999999999593667e-08
For rowNum: 9.999999999593667e-08
For rowNum: 2.0000000000575113e-07
For rowNum: 1.9999999999881224e-07
For rowNum: 9.999999999593667e-08
For rowNum: 1.0000000000287557e-07
For rowNum: 1.0000000000287557e-07
